Name,mean_size,lower_ci,upper_ci,mean_re,se_re,count,type,measurement
1,22,21.6,22.4,-2.3,0.9,6,Known,Height
1,43.1,42.6,43.7,0.3,0.6,6,Known,Length
2,23.1,22.7,23.5,0.4,0.9,6,Known,Height
2,47.9,47.3,48.4,-0.3,0.6,6,Known,Length
3,24.9,24.5,25.2,-0.6,0.8,6,Known,Height
3,56,55.5,56.5,-0.9,0.4,6,Known,Length
4,26.7,26.3,27.1,-1.1,0.7,6,Known,Height
4,63.3,62.7,63.8,-1.1,0.4,6,Known,Length
,,,,,,,,
1,23.3,22.4,24.3,3.7,2.2,8,Unknown,Height
2,24.5,23.5,25.5,6.4,2.3,8,Unknown,Height
3,26.3,25.3,27.4,5.3,2.2,8,Unknown,Height
4,28.3,27.2,29.4,4.9,2.2,8,Unknown,Height
1,46.3,44.4,48.2,7.6,2.3,8,Unknown,Length
2,51.4,49.3,53.5,7,2.3,8,Unknown,Length
3,60,57.5,62.5,6.2,2.3,8,Unknown,Length
4,67.6,64.8,70.4,5.6,2.3,8,Unknown,Length
