Name,DTO,OHP,OLP,OHM,OLM
Red,110,1293,2579,22.5,43
Purple,110,1368,2870,23,48
Brown,110,1479,3380,25,56.5
Green,110,1599,3815,27,64
Red,130,1140,2242,22.5,43
Purple,130,1194,2490,23,48
Brown,130,1290,2906,25,56.5
Green,130,1379,3290,27,64
Red,150,994,1946,22.5,43
Purple,150,1044,2152,23,48
Brown,150,1116,2518,25,56.5
Green,150,1202,2850,27,64
Red,170,877,1699,22.5,43
Purple,170,914,1887,23,48
Brown,170,983,2212,25,56.5
Green,170,1052,2498,27,64
Red,190,785,1557,22.5,43
Purple,190,826,1725,23,48
Brown,190,889,2013,25,56.5
Green,190,958,2266,27,64
Red,210,726,1405,22.5,43
Purple,210,764,1559,23,48
Brown,210,822,1818,25,56.5
Green,210,881,2056,27,64
